CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 4096, 0,
1, 4, 4, 1, 4096, 1,
2, 4, 4, 1, 4096, 2,
3, 4, 4, 2, 2048, 0,
4, 4, 4, 2, 2048, 1,
5, 4, 4, 2, 2048, 2,
6, 4, 4, 4, 1024, 0,
7, 4, 4, 4, 1024, 1,
8, 4, 4, 4, 1024, 2,
9, 4, 4, 8, 512, 0,
10, 4, 4, 8, 512, 1,
11, 4, 4, 8, 512, 2,
12, 4, 4, 16, 256, 0,
13, 4, 4, 16, 256, 1,
14, 4, 4, 16, 256, 2,
15, 4, 4, 32, 128, 0,
16, 4, 4, 32, 128, 1,
17, 4, 4, 32, 128, 2,
18, 4, 4, 64, 64, 0,
19, 4, 4, 64, 64, 1,
20, 4, 4, 64, 64, 2,
21, 4, 4, 128, 32, 0,
22, 4, 4, 128, 32, 1,
23, 4, 4, 128, 32, 2,
24, 4, 4, 256, 16, 0,
25, 4, 4, 256, 16, 1,
26, 4, 4, 256, 16, 2,
27, 4, 4, 512, 8, 0,
28, 4, 4, 512, 8, 1,
29, 4, 4, 512, 8, 2,
30, 4, 4, 1024, 4, 0,
31, 4, 4, 1024, 4, 1,
32, 4, 4, 1024, 4, 2,
33, 4, 4, 2048, 2, 0,
34, 4, 4, 2048, 2, 1,
35, 4, 4, 2048, 2, 2,
36, 4, 4, 4096, 1, 0,
37, 4, 4, 4096, 1, 1,
38, 4, 4, 4096, 1, 2,
39, 4, 8, 1, 2048, 0,
40, 4, 8, 1, 2048, 1,
41, 4, 8, 1, 2048, 2,
42, 8, 4, 1, 2048, 0,
43, 8, 4, 1, 2048, 1,
44, 8, 4, 1, 2048, 2,
45, 4, 8, 2, 1024, 0,
46, 4, 8, 2, 1024, 1,
47, 4, 8, 2, 1024, 2,
48, 8, 4, 2, 1024, 0,
49, 8, 4, 2, 1024, 1,
50, 8, 4, 2, 1024, 2,
51, 4, 8, 4, 512, 0,
52, 4, 8, 4, 512, 1,
53, 4, 8, 4, 512, 2,
54, 8, 4, 4, 512, 0,
55, 8, 4, 4, 512, 1,
56, 8, 4, 4, 512, 2,
57, 4, 8, 8, 256, 0,
58, 4, 8, 8, 256, 1,
59, 4, 8, 8, 256, 2,
60, 8, 4, 8, 256, 0,
61, 8, 4, 8, 256, 1,
62, 8, 4, 8, 256, 2,
63, 4, 8, 16, 128, 0,
64, 4, 8, 16, 128, 1,
65, 4, 8, 16, 128, 2,
66, 8, 4, 16, 128, 0,
67, 8, 4, 16, 128, 1,
68, 8, 4, 16, 128, 2,
69, 4, 8, 32, 64, 0,
70, 4, 8, 32, 64, 1,
71, 4, 8, 32, 64, 2,
72, 8, 4, 32, 64, 0,
73, 8, 4, 32, 64, 1,
74, 8, 4, 32, 64, 2,
75, 4, 8, 64, 32, 0,
76, 4, 8, 64, 32, 1,
77, 4, 8, 64, 32, 2,
78, 8, 4, 64, 32, 0,
79, 8, 4, 64, 32, 1,
80, 8, 4, 64, 32, 2,
81, 4, 8, 128, 16, 0,
82, 4, 8, 128, 16, 1,
83, 4, 8, 128, 16, 2,
84, 8, 4, 128, 16, 0,
85, 8, 4, 128, 16, 1,
86, 8, 4, 128, 16, 2,
87, 4, 8, 256, 8, 0,
88, 4, 8, 256, 8, 1,
89, 4, 8, 256, 8, 2,
90, 8, 4, 256, 8, 0,
91, 8, 4, 256, 8, 1,
92, 8, 4, 256, 8, 2,
93, 4, 8, 512, 4, 0,
94, 4, 8, 512, 4, 1,
95, 4, 8, 512, 4, 2,
96, 8, 4, 512, 4, 0,
97, 8, 4, 512, 4, 1,
98, 8, 4, 512, 4, 2,
99, 4, 8, 1024, 2, 0,
100, 4, 8, 1024, 2, 1,
101, 4, 8, 1024, 2, 2,
102, 8, 4, 1024, 2, 0,
103, 8, 4, 1024, 2, 1,
104, 8, 4, 1024, 2, 2,
105, 4, 8, 2048, 1, 0,
106, 4, 8, 2048, 1, 1,
107, 4, 8, 2048, 1, 2,
108, 8, 4, 2048, 1, 0,
109, 8, 4, 2048, 1, 1,
110, 8, 4, 2048, 1, 2,
111, 4, 16, 1, 1024, 0,
112, 4, 16, 1, 1024, 1,
113, 4, 16, 1, 1024, 2,
114, 8, 8, 1, 1024, 0,
115, 8, 8, 1, 1024, 1,
116, 8, 8, 1, 1024, 2,
117, 16, 4, 1, 1024, 0,
118, 16, 4, 1, 1024, 1,
119, 16, 4, 1, 1024, 2,
120, 4, 16, 2, 512, 0,
121, 4, 16, 2, 512, 1,
122, 4, 16, 2, 512, 2,
123, 8, 8, 2, 512, 0,
124, 8, 8, 2, 512, 1,
125, 8, 8, 2, 512, 2,
126, 16, 4, 2, 512, 0,
127, 16, 4, 2, 512, 1,
128, 16, 4, 2, 512, 2,
129, 4, 16, 4, 256, 0,
130, 4, 16, 4, 256, 1,
131, 4, 16, 4, 256, 2,
132, 8, 8, 4, 256, 0,
133, 8, 8, 4, 256, 1,
134, 8, 8, 4, 256, 2,
135, 16, 4, 4, 256, 0,
136, 16, 4, 4, 256, 1,
137, 16, 4, 4, 256, 2,
138, 4, 16, 8, 128, 0,
139, 4, 16, 8, 128, 1,
140, 4, 16, 8, 128, 2,
141, 8, 8, 8, 128, 0,
142, 8, 8, 8, 128, 1,
143, 8, 8, 8, 128, 2,
144, 16, 4, 8, 128, 0,
145, 16, 4, 8, 128, 1,
146, 16, 4, 8, 128, 2,
147, 4, 16, 16, 64, 0,
148, 4, 16, 16, 64, 1,
149, 4, 16, 16, 64, 2,
150, 8, 8, 16, 64, 0,
151, 8, 8, 16, 64, 1,
152, 8, 8, 16, 64, 2,
153, 16, 4, 16, 64, 0,
154, 16, 4, 16, 64, 1,
155, 16, 4, 16, 64, 2,
156, 4, 16, 32, 32, 0,
157, 4, 16, 32, 32, 1,
158, 4, 16, 32, 32, 2,
159, 8, 8, 32, 32, 0,
160, 8, 8, 32, 32, 1,
161, 8, 8, 32, 32, 2,
162, 16, 4, 32, 32, 0,
163, 16, 4, 32, 32, 1,
164, 16, 4, 32, 32, 2,
165, 4, 16, 64, 16, 0,
166, 4, 16, 64, 16, 1,
167, 4, 16, 64, 16, 2,
168, 8, 8, 64, 16, 0,
169, 8, 8, 64, 16, 1,
170, 8, 8, 64, 16, 2,
171, 16, 4, 64, 16, 0,
172, 16, 4, 64, 16, 1,
173, 16, 4, 64, 16, 2,
174, 4, 16, 128, 8, 0,
175, 4, 16, 128, 8, 1,
176, 4, 16, 128, 8, 2,
177, 8, 8, 128, 8, 0,
178, 8, 8, 128, 8, 1,
179, 8, 8, 128, 8, 2,
180, 16, 4, 128, 8, 0,
181, 16, 4, 128, 8, 1,
182, 16, 4, 128, 8, 2,
183, 4, 16, 256, 4, 0,
184, 4, 16, 256, 4, 1,
185, 4, 16, 256, 4, 2,
186, 8, 8, 256, 4, 0,
187, 8, 8, 256, 4, 1,
188, 8, 8, 256, 4, 2,
189, 16, 4, 256, 4, 0,
190, 16, 4, 256, 4, 1,
191, 16, 4, 256, 4, 2,
192, 4, 16, 512, 2, 0,
193, 4, 16, 512, 2, 1,
194, 4, 16, 512, 2, 2,
195, 8, 8, 512, 2, 0,
196, 8, 8, 512, 2, 1,
197, 8, 8, 512, 2, 2,
198, 16, 4, 512, 2, 0,
199, 16, 4, 512, 2, 1,
200, 16, 4, 512, 2, 2,
201, 4, 16, 1024, 1, 0,
202, 4, 16, 1024, 1, 1,
203, 4, 16, 1024, 1, 2,
204, 8, 8, 1024, 1, 0,
205, 8, 8, 1024, 1, 1,
206, 8, 8, 1024, 1, 2,
207, 16, 4, 1024, 1, 0,
208, 16, 4, 1024, 1, 1,
209, 16, 4, 1024, 1, 2,
210, 4, 32, 1, 512, 0,
211, 4, 32, 1, 512, 1,
212, 4, 32, 1, 512, 2,
213, 8, 16, 1, 512, 0,
214, 8, 16, 1, 512, 1,
215, 8, 16, 1, 512, 2,
216, 16, 8, 1, 512, 0,
217, 16, 8, 1, 512, 1,
218, 16, 8, 1, 512, 2,
219, 32, 4, 1, 512, 0,
220, 32, 4, 1, 512, 1,
221, 32, 4, 1, 512, 2,
222, 4, 32, 2, 256, 0,
223, 4, 32, 2, 256, 1,
224, 4, 32, 2, 256, 2,
225, 8, 16, 2, 256, 0,
226, 8, 16, 2, 256, 1,
227, 8, 16, 2, 256, 2,
228, 16, 8, 2, 256, 0,
229, 16, 8, 2, 256, 1,
230, 16, 8, 2, 256, 2,
231, 32, 4, 2, 256, 0,
232, 32, 4, 2, 256, 1,
233, 32, 4, 2, 256, 2,
234, 4, 32, 4, 128, 0,
235, 4, 32, 4, 128, 1,
236, 4, 32, 4, 128, 2,
237, 8, 16, 4, 128, 0,
238, 8, 16, 4, 128, 1,
239, 8, 16, 4, 128, 2,
240, 16, 8, 4, 128, 0,
241, 16, 8, 4, 128, 1,
242, 16, 8, 4, 128, 2,
243, 32, 4, 4, 128, 0,
244, 32, 4, 4, 128, 1,
245, 32, 4, 4, 128, 2,
246, 4, 32, 8, 64, 0,
247, 4, 32, 8, 64, 1,
248, 4, 32, 8, 64, 2,
249, 8, 16, 8, 64, 0,
250, 8, 16, 8, 64, 1,
251, 8, 16, 8, 64, 2,
252, 16, 8, 8, 64, 0,
253, 16, 8, 8, 64, 1,
254, 16, 8, 8, 64, 2,
255, 32, 4, 8, 64, 0,
256, 32, 4, 8, 64, 1,
257, 32, 4, 8, 64, 2,
258, 4, 32, 16, 32, 0,
259, 4, 32, 16, 32, 1,
260, 4, 32, 16, 32, 2,
261, 8, 16, 16, 32, 0,
262, 8, 16, 16, 32, 1,
263, 8, 16, 16, 32, 2,
264, 16, 8, 16, 32, 0,
265, 16, 8, 16, 32, 1,
266, 16, 8, 16, 32, 2,
267, 32, 4, 16, 32, 0,
268, 32, 4, 16, 32, 1,
269, 32, 4, 16, 32, 2,
270, 4, 32, 32, 16, 0,
271, 4, 32, 32, 16, 1,
272, 4, 32, 32, 16, 2,
273, 8, 16, 32, 16, 0,
274, 8, 16, 32, 16, 1,
275, 8, 16, 32, 16, 2,
276, 16, 8, 32, 16, 0,
277, 16, 8, 32, 16, 1,
278, 16, 8, 32, 16, 2,
279, 32, 4, 32, 16, 0,
280, 32, 4, 32, 16, 1,
281, 32, 4, 32, 16, 2,
282, 4, 32, 64, 8, 0,
283, 4, 32, 64, 8, 1,
284, 4, 32, 64, 8, 2,
285, 8, 16, 64, 8, 0,
286, 8, 16, 64, 8, 1,
287, 8, 16, 64, 8, 2,
288, 16, 8, 64, 8, 0,
289, 16, 8, 64, 8, 1,
290, 16, 8, 64, 8, 2,
291, 32, 4, 64, 8, 0,
292, 32, 4, 64, 8, 1,
293, 32, 4, 64, 8, 2,
294, 4, 32, 128, 4, 0,
295, 4, 32, 128, 4, 1,
296, 4, 32, 128, 4, 2,
297, 8, 16, 128, 4, 0,
298, 8, 16, 128, 4, 1,
299, 8, 16, 128, 4, 2,
300, 16, 8, 128, 4, 0,
301, 16, 8, 128, 4, 1,
302, 16, 8, 128, 4, 2,
303, 32, 4, 128, 4, 0,
304, 32, 4, 128, 4, 1,
305, 32, 4, 128, 4, 2,
306, 4, 32, 256, 2, 0,
307, 4, 32, 256, 2, 1,
308, 4, 32, 256, 2, 2,
309, 8, 16, 256, 2, 0,
310, 8, 16, 256, 2, 1,
311, 8, 16, 256, 2, 2,
312, 16, 8, 256, 2, 0,
313, 16, 8, 256, 2, 1,
314, 16, 8, 256, 2, 2,
315, 32, 4, 256, 2, 0,
316, 32, 4, 256, 2, 1,
317, 32, 4, 256, 2, 2,
318, 4, 32, 512, 1, 0,
319, 4, 32, 512, 1, 1,
320, 4, 32, 512, 1, 2,
321, 8, 16, 512, 1, 0,
322, 8, 16, 512, 1, 1,
323, 8, 16, 512, 1, 2,
324, 16, 8, 512, 1, 0,
325, 16, 8, 512, 1, 1,
326, 16, 8, 512, 1, 2,
327, 32, 4, 512, 1, 0,
328, 32, 4, 512, 1, 1,
329, 32, 4, 512, 1, 2,
330, 4, 64, 1, 256, 0,
331, 4, 64, 1, 256, 1,
332, 4, 64, 1, 256, 2,
333, 8, 32, 1, 256, 0,
334, 8, 32, 1, 256, 1,
335, 8, 32, 1, 256, 2,
336, 16, 16, 1, 256, 0,
337, 16, 16, 1, 256, 1,
338, 16, 16, 1, 256, 2,
339, 32, 8, 1, 256, 0,
340, 32, 8, 1, 256, 1,
341, 32, 8, 1, 256, 2,
342, 64, 4, 1, 256, 0,
343, 64, 4, 1, 256, 1,
344, 64, 4, 1, 256, 2,
345, 4, 64, 2, 128, 0,
346, 4, 64, 2, 128, 1,
347, 4, 64, 2, 128, 2,
348, 8, 32, 2, 128, 0,
349, 8, 32, 2, 128, 1,
350, 8, 32, 2, 128, 2,
351, 16, 16, 2, 128, 0,
352, 16, 16, 2, 128, 1,
353, 16, 16, 2, 128, 2,
354, 32, 8, 2, 128, 0,
355, 32, 8, 2, 128, 1,
356, 32, 8, 2, 128, 2,
357, 64, 4, 2, 128, 0,
358, 64, 4, 2, 128, 1,
359, 64, 4, 2, 128, 2,
360, 4, 64, 4, 64, 0,
361, 4, 64, 4, 64, 1,
362, 4, 64, 4, 64, 2,
363, 8, 32, 4, 64, 0,
364, 8, 32, 4, 64, 1,
365, 8, 32, 4, 64, 2,
366, 16, 16, 4, 64, 0,
367, 16, 16, 4, 64, 1,
368, 16, 16, 4, 64, 2,
369, 32, 8, 4, 64, 0,
370, 32, 8, 4, 64, 1,
371, 32, 8, 4, 64, 2,
372, 64, 4, 4, 64, 0,
373, 64, 4, 4, 64, 1,
374, 64, 4, 4, 64, 2,
375, 4, 64, 8, 32, 0,
376, 4, 64, 8, 32, 1,
377, 4, 64, 8, 32, 2,
378, 8, 32, 8, 32, 0,
379, 8, 32, 8, 32, 1,
380, 8, 32, 8, 32, 2,
381, 16, 16, 8, 32, 0,
382, 16, 16, 8, 32, 1,
383, 16, 16, 8, 32, 2,
384, 32, 8, 8, 32, 0,
385, 32, 8, 8, 32, 1,
386, 32, 8, 8, 32, 2,
387, 64, 4, 8, 32, 0,
388, 64, 4, 8, 32, 1,
389, 64, 4, 8, 32, 2,
390, 4, 64, 16, 16, 0,
391, 4, 64, 16, 16, 1,
392, 4, 64, 16, 16, 2,
393, 8, 32, 16, 16, 0,
394, 8, 32, 16, 16, 1,
395, 8, 32, 16, 16, 2,
396, 16, 16, 16, 16, 0,
397, 16, 16, 16, 16, 1,
398, 16, 16, 16, 16, 2,
399, 32, 8, 16, 16, 0,
400, 32, 8, 16, 16, 1,
401, 32, 8, 16, 16, 2,
402, 64, 4, 16, 16, 0,
403, 64, 4, 16, 16, 1,
404, 64, 4, 16, 16, 2,
405, 4, 64, 32, 8, 0,
406, 4, 64, 32, 8, 1,
407, 4, 64, 32, 8, 2,
408, 8, 32, 32, 8, 0,
409, 8, 32, 32, 8, 1,
410, 8, 32, 32, 8, 2,
411, 16, 16, 32, 8, 0,
412, 16, 16, 32, 8, 1,
413, 16, 16, 32, 8, 2,
414, 32, 8, 32, 8, 0,
415, 32, 8, 32, 8, 1,
416, 32, 8, 32, 8, 2,
417, 64, 4, 32, 8, 0,
418, 64, 4, 32, 8, 1,
419, 64, 4, 32, 8, 2,
420, 4, 64, 64, 4, 0,
421, 4, 64, 64, 4, 1,
422, 4, 64, 64, 4, 2,
423, 8, 32, 64, 4, 0,
424, 8, 32, 64, 4, 1,
425, 8, 32, 64, 4, 2,
426, 16, 16, 64, 4, 0,
427, 16, 16, 64, 4, 1,
428, 16, 16, 64, 4, 2,
429, 32, 8, 64, 4, 0,
430, 32, 8, 64, 4, 1,
431, 32, 8, 64, 4, 2,
432, 64, 4, 64, 4, 0,
433, 64, 4, 64, 4, 1,
434, 64, 4, 64, 4, 2,
435, 4, 64, 128, 2, 0,
436, 4, 64, 128, 2, 1,
437, 4, 64, 128, 2, 2,
438, 8, 32, 128, 2, 0,
