CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 65536, 0,
1, 4, 4, 1, 65536, 1,
2, 4, 4, 1, 65536, 2,
3, 4, 4, 2, 32768, 0,
4, 4, 4, 2, 32768, 1,
5, 4, 4, 2, 32768, 2,
6, 4, 4, 4, 16384, 0,
7, 4, 4, 4, 16384, 1,
8, 4, 4, 4, 16384, 2,
9, 4, 4, 8, 8192, 0,
10, 4, 4, 8, 8192, 1,
11, 4, 4, 8, 8192, 2,
12, 4, 4, 16, 4096, 0,
13, 4, 4, 16, 4096, 1,
14, 4, 4, 16, 4096, 2,
15, 4, 4, 32, 2048, 0,
16, 4, 4, 32, 2048, 1,
17, 4, 4, 32, 2048, 2,
18, 4, 4, 64, 1024, 0,
19, 4, 4, 64, 1024, 1,
20, 4, 4, 64, 1024, 2,
21, 4, 4, 128, 512, 0,
22, 4, 4, 128, 512, 1,
23, 4, 4, 128, 512, 2,
24, 4, 4, 256, 256, 0,
25, 4, 4, 256, 256, 1,
26, 4, 4, 256, 256, 2,
27, 4, 4, 512, 128, 0,
28, 4, 4, 512, 128, 1,
29, 4, 4, 512, 128, 2,
30, 4, 4, 1024, 64, 0,
31, 4, 4, 1024, 64, 1,
32, 4, 4, 1024, 64, 2,
33, 4, 4, 2048, 32, 0,
34, 4, 4, 2048, 32, 1,
35, 4, 4, 2048, 32, 2,
36, 4, 4, 4096, 16, 0,
37, 4, 4, 4096, 16, 1,
38, 4, 4, 4096, 16, 2,
39, 4, 4, 8192, 8, 0,
40, 4, 4, 8192, 8, 1,
41, 4, 4, 8192, 8, 2,
42, 4, 4, 16384, 4, 0,
43, 4, 4, 16384, 4, 1,
44, 4, 4, 16384, 4, 2,
45, 4, 4, 32768, 2, 0,
46, 4, 4, 32768, 2, 1,
47, 4, 4, 32768, 2, 2,
48, 4, 4, 65536, 1, 0,
49, 4, 4, 65536, 1, 1,
50, 4, 4, 65536, 1, 2,
51, 4, 8, 1, 32768, 0,
52, 4, 8, 1, 32768, 1,
53, 4, 8, 1, 32768, 2,
54, 8, 4, 1, 32768, 0,
55, 8, 4, 1, 32768, 1,
56, 8, 4, 1, 32768, 2,
57, 4, 8, 2, 16384, 0,
58, 4, 8, 2, 16384, 1,
59, 4, 8, 2, 16384, 2,
60, 8, 4, 2, 16384, 0,
61, 8, 4, 2, 16384, 1,
62, 8, 4, 2, 16384, 2,
63, 4, 8, 4, 8192, 0,
64, 4, 8, 4, 8192, 1,
65, 4, 8, 4, 8192, 2,
66, 8, 4, 4, 8192, 0,
67, 8, 4, 4, 8192, 1,
68, 8, 4, 4, 8192, 2,
69, 4, 8, 8, 4096, 0,
70, 4, 8, 8, 4096, 1,
71, 4, 8, 8, 4096, 2,
72, 8, 4, 8, 4096, 0,
73, 8, 4, 8, 4096, 1,
74, 8, 4, 8, 4096, 2,
