CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 2048, 0,
1, 4, 4, 1, 2048, 1,
2, 4, 4, 1, 2048, 2,
3, 4, 4, 2, 1024, 0,
4, 4, 4, 2, 1024, 1,
5, 4, 4, 2, 1024, 2,
6, 4, 4, 4, 512, 0,
7, 4, 4, 4, 512, 1,
8, 4, 4, 4, 512, 2,
9, 4, 4, 8, 256, 0,
10, 4, 4, 8, 256, 1,
11, 4, 4, 8, 256, 2,
12, 4, 4, 16, 128, 0,
13, 4, 4, 16, 128, 1,
14, 4, 4, 16, 128, 2,
15, 4, 4, 32, 64, 0,
16, 4, 4, 32, 64, 1,
17, 4, 4, 32, 64, 2,
18, 4, 4, 64, 32, 0,
19, 4, 4, 64, 32, 1,
20, 4, 4, 64, 32, 2,
21, 4, 4, 128, 16, 0,
22, 4, 4, 128, 16, 1,
23, 4, 4, 128, 16, 2,
24, 4, 4, 256, 8, 0,
25, 4, 4, 256, 8, 1,
26, 4, 4, 256, 8, 2,
27, 4, 4, 512, 4, 0,
28, 4, 4, 512, 4, 1,
29, 4, 4, 512, 4, 2,
30, 4, 4, 1024, 2, 0,
31, 4, 4, 1024, 2, 1,
32, 4, 4, 1024, 2, 2,
33, 4, 4, 2048, 1, 0,
34, 4, 4, 2048, 1, 1,
35, 4, 4, 2048, 1, 2,
36, 4, 8, 1, 1024, 0,
37, 4, 8, 1, 1024, 1,
38, 4, 8, 1, 1024, 2,
39, 8, 4, 1, 1024, 0,
40, 8, 4, 1, 1024, 1,
41, 8, 4, 1, 1024, 2,
42, 4, 8, 2, 512, 0,
43, 4, 8, 2, 512, 1,
44, 4, 8, 2, 512, 2,
45, 8, 4, 2, 512, 0,
46, 8, 4, 2, 512, 1,
47, 8, 4, 2, 512, 2,
48, 4, 8, 4, 256, 0,
49, 4, 8, 4, 256, 1,
50, 4, 8, 4, 256, 2,
51, 8, 4, 4, 256, 0,
52, 8, 4, 4, 256, 1,
53, 8, 4, 4, 256, 2,
54, 4, 8, 8, 128, 0,
55, 4, 8, 8, 128, 1,
56, 4, 8, 8, 128, 2,
57, 8, 4, 8, 128, 0,
58, 8, 4, 8, 128, 1,
59, 8, 4, 8, 128, 2,
60, 4, 8, 16, 64, 0,
61, 4, 8, 16, 64, 1,
62, 4, 8, 16, 64, 2,
63, 8, 4, 16, 64, 0,
64, 8, 4, 16, 64, 1,
65, 8, 4, 16, 64, 2,
66, 4, 8, 32, 32, 0,
67, 4, 8, 32, 32, 1,
68, 4, 8, 32, 32, 2,
69, 8, 4, 32, 32, 0,
70, 8, 4, 32, 32, 1,
71, 8, 4, 32, 32, 2,
72, 4, 8, 64, 16, 0,
73, 4, 8, 64, 16, 1,
74, 4, 8, 64, 16, 2,
75, 8, 4, 64, 16, 0,
76, 8, 4, 64, 16, 1,
77, 8, 4, 64, 16, 2,
78, 4, 8, 128, 8, 0,
79, 4, 8, 128, 8, 1,
80, 4, 8, 128, 8, 2,
81, 8, 4, 128, 8, 0,
82, 8, 4, 128, 8, 1,
83, 8, 4, 128, 8, 2,
84, 4, 8, 256, 4, 0,
85, 4, 8, 256, 4, 1,
86, 4, 8, 256, 4, 2,
87, 8, 4, 256, 4, 0,
88, 8, 4, 256, 4, 1,
89, 8, 4, 256, 4, 2,
90, 4, 8, 512, 2, 0,
91, 4, 8, 512, 2, 1,
92, 4, 8, 512, 2, 2,
93, 8, 4, 512, 2, 0,
94, 8, 4, 512, 2, 1,
95, 8, 4, 512, 2, 2,
96, 4, 8, 1024, 1, 0,
97, 4, 8, 1024, 1, 1,
98, 4, 8, 1024, 1, 2,
99, 8, 4, 1024, 1, 0,
100, 8, 4, 1024, 1, 1,
101, 8, 4, 1024, 1, 2,
102, 4, 16, 1, 512, 0,
103, 4, 16, 1, 512, 1,
104, 4, 16, 1, 512, 2,
105, 8, 8, 1, 512, 0,
106, 8, 8, 1, 512, 1,
107, 8, 8, 1, 512, 2,
108, 16, 4, 1, 512, 0,
109, 16, 4, 1, 512, 1,
110, 16, 4, 1, 512, 2,
111, 4, 16, 2, 256, 0,
112, 4, 16, 2, 256, 1,
113, 4, 16, 2, 256, 2,
114, 8, 8, 2, 256, 0,
115, 8, 8, 2, 256, 1,
116, 8, 8, 2, 256, 2,
117, 16, 4, 2, 256, 0,
118, 16, 4, 2, 256, 1,
119, 16, 4, 2, 256, 2,
120, 4, 16, 4, 128, 0,
121, 4, 16, 4, 128, 1,
122, 4, 16, 4, 128, 2,
123, 8, 8, 4, 128, 0,
124, 8, 8, 4, 128, 1,
125, 8, 8, 4, 128, 2,
126, 16, 4, 4, 128, 0,
127, 16, 4, 4, 128, 1,
128, 16, 4, 4, 128, 2,
129, 4, 16, 8, 64, 0,
130, 4, 16, 8, 64, 1,
131, 4, 16, 8, 64, 2,
132, 8, 8, 8, 64, 0,
133, 8, 8, 8, 64, 1,
134, 8, 8, 8, 64, 2,
135, 16, 4, 8, 64, 0,
136, 16, 4, 8, 64, 1,
137, 16, 4, 8, 64, 2,
138, 4, 16, 16, 32, 0,
139, 4, 16, 16, 32, 1,
140, 4, 16, 16, 32, 2,
141, 8, 8, 16, 32, 0,
142, 8, 8, 16, 32, 1,
143, 8, 8, 16, 32, 2,
144, 16, 4, 16, 32, 0,
145, 16, 4, 16, 32, 1,
146, 16, 4, 16, 32, 2,
147, 4, 16, 32, 16, 0,
148, 4, 16, 32, 16, 1,
149, 4, 16, 32, 16, 2,
150, 8, 8, 32, 16, 0,
151, 8, 8, 32, 16, 1,
152, 8, 8, 32, 16, 2,
153, 16, 4, 32, 16, 0,
154, 16, 4, 32, 16, 1,
155, 16, 4, 32, 16, 2,
156, 4, 16, 64, 8, 0,
157, 4, 16, 64, 8, 1,
158, 4, 16, 64, 8, 2,
159, 8, 8, 64, 8, 0,
160, 8, 8, 64, 8, 1,
161, 8, 8, 64, 8, 2,
162, 16, 4, 64, 8, 0,
163, 16, 4, 64, 8, 1,
164, 16, 4, 64, 8, 2,
165, 4, 16, 128, 4, 0,
166, 4, 16, 128, 4, 1,
167, 4, 16, 128, 4, 2,
168, 8, 8, 128, 4, 0,
169, 8, 8, 128, 4, 1,
170, 8, 8, 128, 4, 2,
171, 16, 4, 128, 4, 0,
172, 16, 4, 128, 4, 1,
173, 16, 4, 128, 4, 2,
174, 4, 16, 256, 2, 0,
175, 4, 16, 256, 2, 1,
176, 4, 16, 256, 2, 2,
177, 8, 8, 256, 2, 0,
178, 8, 8, 256, 2, 1,
179, 8, 8, 256, 2, 2,
180, 16, 4, 256, 2, 0,
181, 16, 4, 256, 2, 1,
182, 16, 4, 256, 2, 2,
183, 4, 16, 512, 1, 0,
184, 4, 16, 512, 1, 1,
185, 4, 16, 512, 1, 2,
186, 8, 8, 512, 1, 0,
187, 8, 8, 512, 1, 1,
188, 8, 8, 512, 1, 2,
189, 16, 4, 512, 1, 0,
190, 16, 4, 512, 1, 1,
191, 16, 4, 512, 1, 2,
192, 4, 32, 1, 256, 0,
193, 4, 32, 1, 256, 1,
194, 4, 32, 1, 256, 2,
195, 8, 16, 1, 256, 0,
196, 8, 16, 1, 256, 1,
197, 8, 16, 1, 256, 2,
198, 16, 8, 1, 256, 0,
199, 16, 8, 1, 256, 1,
200, 16, 8, 1, 256, 2,
201, 32, 4, 1, 256, 0,
202, 32, 4, 1, 256, 1,
203, 32, 4, 1, 256, 2,
204, 4, 32, 2, 128, 0,
205, 4, 32, 2, 128, 1,
206, 4, 32, 2, 128, 2,
207, 8, 16, 2, 128, 0,
208, 8, 16, 2, 128, 1,
209, 8, 16, 2, 128, 2,
210, 16, 8, 2, 128, 0,
211, 16, 8, 2, 128, 1,
212, 16, 8, 2, 128, 2,
213, 32, 4, 2, 128, 0,
214, 32, 4, 2, 128, 1,
215, 32, 4, 2, 128, 2,
216, 4, 32, 4, 64, 0,
217, 4, 32, 4, 64, 1,
218, 4, 32, 4, 64, 2,
