CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
153, 16, 4, 64, 4, 0,
154, 16, 4, 64, 4, 1,
155, 16, 4, 64, 4, 2,
156, 4, 16, 128, 2, 0,
157, 4, 16, 128, 2, 1,
158, 4, 16, 128, 2, 2,
159, 8, 8, 128, 2, 0,
160, 8, 8, 128, 2, 1,
161, 8, 8, 128, 2, 2,
162, 16, 4, 128, 2, 0,
163, 16, 4, 128, 2, 1,
164, 16, 4, 128, 2, 2,
165, 4, 16, 256, 1, 0,
166, 4, 16, 256, 1, 1,
167, 4, 16, 256, 1, 2,
168, 8, 8, 256, 1, 0,
169, 8, 8, 256, 1, 1,
170, 8, 8, 256, 1, 2,
171, 16, 4, 256, 1, 0,
172, 16, 4, 256, 1, 1,
173, 16, 4, 256, 1, 2,
174, 4, 32, 1, 128, 0,
175, 4, 32, 1, 128, 1,
176, 4, 32, 1, 128, 2,
177, 8, 16, 1, 128, 0,
178, 8, 16, 1, 128, 1,
179, 8, 16, 1, 128, 2,
180, 16, 8, 1, 128, 0,
181, 16, 8, 1, 128, 1,
182, 16, 8, 1, 128, 2,
183, 32, 4, 1, 128, 0,
184, 32, 4, 1, 128, 1,
185, 32, 4, 1, 128, 2,
186, 4, 32, 2, 64, 0,
187, 4, 32, 2, 64, 1,
188, 4, 32, 2, 64, 2,
189, 8, 16, 2, 64, 0,
190, 8, 16, 2, 64, 1,
191, 8, 16, 2, 64, 2,
192, 16, 8, 2, 64, 0,
193, 16, 8, 2, 64, 1,
194, 16, 8, 2, 64, 2,
195, 32, 4, 2, 64, 0,
196, 32, 4, 2, 64, 1,
197, 32, 4, 2, 64, 2,
198, 4, 32, 4, 32, 0,
199, 4, 32, 4, 32, 1,
200, 4, 32, 4, 32, 2,
201, 8, 16, 4, 32, 0,
202, 8, 16, 4, 32, 1,
203, 8, 16, 4, 32, 2,
204, 16, 8, 4, 32, 0,
205, 16, 8, 4, 32, 1,
206, 16, 8, 4, 32, 2,
207, 32, 4, 4, 32, 0,
208, 32, 4, 4, 32, 1,
209, 32, 4, 4, 32, 2,
210, 4, 32, 8, 16, 0,
211, 4, 32, 8, 16, 1,
212, 4, 32, 8, 16, 2,
213, 8, 16, 8, 16, 0,
214, 8, 16, 8, 16, 1,
215, 8, 16, 8, 16, 2,
216, 16, 8, 8, 16, 0,
217, 16, 8, 8, 16, 1,
218, 16, 8, 8, 16, 2,
219, 32, 4, 8, 16, 0,
220, 32, 4, 8, 16, 1,
221, 32, 4, 8, 16, 2,
222, 4, 32, 16, 8, 0,
223, 4, 32, 16, 8, 1,
224, 4, 32, 16, 8, 2,
225, 8, 16, 16, 8, 0,
226, 8, 16, 16, 8, 1,
227, 8, 16, 16, 8, 2,
228, 16, 8, 16, 8, 0,
229, 16, 8, 16, 8, 1,
230, 16, 8, 16, 8, 2,
231, 32, 4, 16, 8, 0,
232, 32, 4, 16, 8, 1,
233, 32, 4, 16, 8, 2,
234, 4, 32, 32, 4, 0,
235, 4, 32, 32, 4, 1,
236, 4, 32, 32, 4, 2,
237, 8, 16, 32, 4, 0,
238, 8, 16, 32, 4, 1,
239, 8, 16, 32, 4, 2,
240, 16, 8, 32, 4, 0,
241, 16, 8, 32, 4, 1,
242, 16, 8, 32, 4, 2,
243, 32, 4, 32, 4, 0,
244, 32, 4, 32, 4, 1,
245, 32, 4, 32, 4, 2,
246, 4, 32, 64, 2, 0,
247, 4, 32, 64, 2, 1,
248, 4, 32, 64, 2, 2,
249, 8, 16, 64, 2, 0,
250, 8, 16, 64, 2, 1,
251, 8, 16, 64, 2, 2,
252, 16, 8, 64, 2, 0,
253, 16, 8, 64, 2, 1,
254, 16, 8, 64, 2, 2,
255, 32, 4, 64, 2, 0,
256, 32, 4, 64, 2, 1,
257, 32, 4, 64, 2, 2,
258, 4, 32, 128, 1, 0,
259, 4, 32, 128, 1, 1,
260, 4, 32, 128, 1, 2,
261, 8, 16, 128, 1, 0,
262, 8, 16, 128, 1, 1,
263, 8, 16, 128, 1, 2,
264, 16, 8, 128, 1, 0,
265, 16, 8, 128, 1, 1,
266, 16, 8, 128, 1, 2,
267, 32, 4, 128, 1, 0,
268, 32, 4, 128, 1, 1,
269, 32, 4, 128, 1, 2,
270, 4, 64, 1, 64, 0,
271, 4, 64, 1, 64, 1,
272, 4, 64, 1, 64, 2,
273, 8, 32, 1, 64, 0,
274, 8, 32, 1, 64, 1,
275, 8, 32, 1, 64, 2,
276, 16, 16, 1, 64, 0,
277, 16, 16, 1, 64, 1,
278, 16, 16, 1, 64, 2,
279, 32, 8, 1, 64, 0,
280, 32, 8, 1, 64, 1,
281, 32, 8, 1, 64, 2,
282, 64, 4, 1, 64, 0,
283, 64, 4, 1, 64, 1,
284, 64, 4, 1, 64, 2,
285, 4, 64, 2, 32, 0,
286, 4, 64, 2, 32, 1,
287, 4, 64, 2, 32, 2,
288, 8, 32, 2, 32, 0,
289, 8, 32, 2, 32, 1,
290, 8, 32, 2, 32, 2,
291, 16, 16, 2, 32, 0,
292, 16, 16, 2, 32, 1,
293, 16, 16, 2, 32, 2,
294, 32, 8, 2, 32, 0,
295, 32, 8, 2, 32, 1,
296, 32, 8, 2, 32, 2,
297, 64, 4, 2, 32, 0,
298, 64, 4, 2, 32, 1,
299, 64, 4, 2, 32, 2,
300, 4, 64, 4, 16, 0,
301, 4, 64, 4, 16, 1,
302, 4, 64, 4, 16, 2,
303, 8, 32, 4, 16, 0,
304, 8, 32, 4, 16, 1,
305, 8, 32, 4, 16, 2,
306, 16, 16, 4, 16, 0,
307, 16, 16, 4, 16, 1,
308, 16, 16, 4, 16, 2,
309, 32, 8, 4, 16, 0,
310, 32, 8, 4, 16, 1,
311, 32, 8, 4, 16, 2,
312, 64, 4, 4, 16, 0,
313, 64, 4, 4, 16, 1,
314, 64, 4, 4, 16, 2,
315, 4, 64, 8, 8, 0,
316, 4, 64, 8, 8, 1,
317, 4, 64, 8, 8, 2,
318, 8, 32, 8, 8, 0,
319, 8, 32, 8, 8, 1,
320, 8, 32, 8, 8, 2,
321, 16, 16, 8, 8, 0,
322, 16, 16, 8, 8, 1,
323, 16, 16, 8, 8, 2,
324, 32, 8, 8, 8, 0,
325, 32, 8, 8, 8, 1,
326, 32, 8, 8, 8, 2,
327, 64, 4, 8, 8, 0,
328, 64, 4, 8, 8, 1,
329, 64, 4, 8, 8, 2,
330, 4, 64, 16, 4, 0,
331, 4, 64, 16, 4, 1,
332, 4, 64, 16, 4, 2,
333, 8, 32, 16, 4, 0,
334, 8, 32, 16, 4, 1,
335, 8, 32, 16, 4, 2,
336, 16, 16, 16, 4, 0,
337, 16, 16, 16, 4, 1,
338, 16, 16, 16, 4, 2,
339, 32, 8, 16, 4, 0,
340, 32, 8, 16, 4, 1,
341, 32, 8, 16, 4, 2,
342, 64, 4, 16, 4, 0,
343, 64, 4, 16, 4, 1,
344, 64, 4, 16, 4, 2,
345, 4, 64, 32, 2, 0,
346, 4, 64, 32, 2, 1,
347, 4, 64, 32, 2, 2,
348, 8, 32, 32, 2, 0,
349, 8, 32, 32, 2, 1,
350, 8, 32, 32, 2, 2,
351, 16, 16, 32, 2, 0,
352, 16, 16, 32, 2, 1,
353, 16, 16, 32, 2, 2,
354, 32, 8, 32, 2, 0,
355, 32, 8, 32, 2, 1,
356, 32, 8, 32, 2, 2,
357, 64, 4, 32, 2, 0,
358, 64, 4, 32, 2, 1,
359, 64, 4, 32, 2, 2,
360, 4, 64, 64, 1, 0,
361, 4, 64, 64, 1, 1,
362, 4, 64, 64, 1, 2,
363, 8, 32, 64, 1, 0,
364, 8, 32, 64, 1, 1,
365, 8, 32, 64, 1, 2,
366, 16, 16, 64, 1, 0,
367, 16, 16, 64, 1, 1,
368, 16, 16, 64, 1, 2,
369, 32, 8, 64, 1, 0,
370, 32, 8, 64, 1, 1,
371, 32, 8, 64, 1, 2,
372, 64, 4, 64, 1, 0,
373, 64, 4, 64, 1, 1,
374, 64, 4, 64, 1, 2,
375, 4, 128, 1, 32, 0,
376, 4, 128, 1, 32, 1,
377, 4, 128, 1, 32, 2,
378, 8, 64, 1, 32, 0,
379, 8, 64, 1, 32, 1,
380, 8, 64, 1, 32, 2,
381, 16, 32, 1, 32, 0,
382, 16, 32, 1, 32, 1,
383, 16, 32, 1, 32, 2,
384, 32, 16, 1, 32, 0,
385, 32, 16, 1, 32, 1,
386, 32, 16, 1, 32, 2,
387, 64, 8, 1, 32, 0,
388, 64, 8, 1, 32, 1,
389, 64, 8, 1, 32, 2,
390, 128, 4, 1, 32, 0,
391, 128, 4, 1, 32, 1,
392, 128, 4, 1, 32, 2,
393, 4, 128, 2, 16, 0,
394, 4, 128, 2, 16, 1,
395, 4, 128, 2, 16, 2,
396, 8, 64, 2, 16, 0,
397, 8, 64, 2, 16, 1,
398, 8, 64, 2, 16, 2,
399, 16, 32, 2, 16, 0,
400, 16, 32, 2, 16, 1,
401, 16, 32, 2, 16, 2,
402, 32, 16, 2, 16, 0,
403, 32, 16, 2, 16, 1,
404, 32, 16, 2, 16, 2,
405, 64, 8, 2, 16, 0,
406, 64, 8, 2, 16, 1,
407, 64, 8, 2, 16, 2,
408, 128, 4, 2, 16, 0,
409, 128, 4, 2, 16, 1,
410, 128, 4, 2, 16, 2,
411, 4, 128, 4, 8, 0,
412, 4, 128, 4, 8, 1,
413, 4, 128, 4, 8, 2,
414, 8, 64, 4, 8, 0,
415, 8, 64, 4, 8, 1,
416, 8, 64, 4, 8, 2,
417, 16, 32, 4, 8, 0,
418, 16, 32, 4, 8, 1,
419, 16, 32, 4, 8, 2,
420, 32, 16, 4, 8, 0,
421, 32, 16, 4, 8, 1,
422, 32, 16, 4, 8, 2,
423, 64, 8, 4, 8, 0,
424, 64, 8, 4, 8, 1,
425, 64, 8, 4, 8, 2,
426, 128, 4, 4, 8, 0,
427, 128, 4, 4, 8, 1,
428, 128, 4, 4, 8, 2,
