CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 16384, 0,
1, 4, 4, 1, 16384, 1,
2, 4, 4, 1, 16384, 2,
3, 4, 4, 2, 8192, 0,
4, 4, 4, 2, 8192, 1,
5, 4, 4, 2, 8192, 2,
6, 4, 4, 4, 4096, 0,
7, 4, 4, 4, 4096, 1,
8, 4, 4, 4, 4096, 2,
9, 4, 4, 8, 2048, 0,
10, 4, 4, 8, 2048, 1,
11, 4, 4, 8, 2048, 2,
12, 4, 4, 16, 1024, 0,
13, 4, 4, 16, 1024, 1,
14, 4, 4, 16, 1024, 2,
15, 4, 4, 32, 512, 0,
16, 4, 4, 32, 512, 1,
17, 4, 4, 32, 512, 2,
18, 4, 4, 64, 256, 0,
19, 4, 4, 64, 256, 1,
20, 4, 4, 64, 256, 2,
21, 4, 4, 128, 128, 0,
22, 4, 4, 128, 128, 1,
23, 4, 4, 128, 128, 2,
24, 4, 4, 256, 64, 0,
25, 4, 4, 256, 64, 1,
26, 4, 4, 256, 64, 2,
27, 4, 4, 512, 32, 0,
28, 4, 4, 512, 32, 1,
29, 4, 4, 512, 32, 2,
30, 4, 4, 1024, 16, 0,
31, 4, 4, 1024, 16, 1,
32, 4, 4, 1024, 16, 2,
33, 4, 4, 2048, 8, 0,
34, 4, 4, 2048, 8, 1,
35, 4, 4, 2048, 8, 2,
36, 4, 4, 4096, 4, 0,
37, 4, 4, 4096, 4, 1,
38, 4, 4, 4096, 4, 2,
39, 4, 4, 8192, 2, 0,
40, 4, 4, 8192, 2, 1,
41, 4, 4, 8192, 2, 2,
42, 4, 4, 16384, 1, 0,
43, 4, 4, 16384, 1, 1,
44, 4, 4, 16384, 1, 2,
45, 4, 8, 1, 8192, 0,
46, 4, 8, 1, 8192, 1,
47, 4, 8, 1, 8192, 2,
48, 8, 4, 1, 8192, 0,
49, 8, 4, 1, 8192, 1,
50, 8, 4, 1, 8192, 2,
51, 4, 8, 2, 4096, 0,
52, 4, 8, 2, 4096, 1,
53, 4, 8, 2, 4096, 2,
54, 8, 4, 2, 4096, 0,
55, 8, 4, 2, 4096, 1,
56, 8, 4, 2, 4096, 2,
57, 4, 8, 4, 2048, 0,
58, 4, 8, 4, 2048, 1,
59, 4, 8, 4, 2048, 2,
60, 8, 4, 4, 2048, 0,
61, 8, 4, 4, 2048, 1,
62, 8, 4, 4, 2048, 2,
63, 4, 8, 8, 1024, 0,
64, 4, 8, 8, 1024, 1,
65, 4, 8, 8, 1024, 2,
66, 8, 4, 8, 1024, 0,
67, 8, 4, 8, 1024, 1,
68, 8, 4, 8, 1024, 2,
69, 4, 8, 16, 512, 0,
70, 4, 8, 16, 512, 1,
71, 4, 8, 16, 512, 2,
72, 8, 4, 16, 512, 0,
73, 8, 4, 16, 512, 1,
74, 8, 4, 16, 512, 2,
75, 4, 8, 32, 256, 0,
76, 4, 8, 32, 256, 1,
77, 4, 8, 32, 256, 2,
78, 8, 4, 32, 256, 0,
79, 8, 4, 32, 256, 1,
80, 8, 4, 32, 256, 2,
81, 4, 8, 64, 128, 0,
82, 4, 8, 64, 128, 1,
83, 4, 8, 64, 128, 2,
84, 8, 4, 64, 128, 0,
85, 8, 4, 64, 128, 1,
86, 8, 4, 64, 128, 2,
87, 4, 8, 128, 64, 0,
88, 4, 8, 128, 64, 1,
