CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
0, 4, 4, 1, 512, 0,
1, 4, 4, 1, 512, 1,
2, 4, 4, 1, 512, 2,
3, 4, 4, 2, 256, 0,
4, 4, 4, 2, 256, 1,
5, 4, 4, 2, 256, 2,
6, 4, 4, 4, 128, 0,
7, 4, 4, 4, 128, 1,
8, 4, 4, 4, 128, 2,
9, 4, 4, 8, 64, 0,
10, 4, 4, 8, 64, 1,
11, 4, 4, 8, 64, 2,
12, 4, 4, 16, 32, 0,
13, 4, 4, 16, 32, 1,
14, 4, 4, 16, 32, 2,
15, 4, 4, 32, 16, 0,
16, 4, 4, 32, 16, 1,
17, 4, 4, 32, 16, 2,
18, 4, 4, 64, 8, 0,
19, 4, 4, 64, 8, 1,
20, 4, 4, 64, 8, 2,
21, 4, 4, 128, 4, 0,
22, 4, 4, 128, 4, 1,
23, 4, 4, 128, 4, 2,
24, 4, 4, 256, 2, 0,
25, 4, 4, 256, 2, 1,
26, 4, 4, 256, 2, 2,
27, 4, 4, 512, 1, 0,
28, 4, 4, 512, 1, 1,
29, 4, 4, 512, 1, 2,
30, 4, 8, 1, 256, 0,
31, 4, 8, 1, 256, 1,
32, 4, 8, 1, 256, 2,
33, 8, 4, 1, 256, 0,
34, 8, 4, 1, 256, 1,
35, 8, 4, 1, 256, 2,
36, 4, 8, 2, 128, 0,
37, 4, 8, 2, 128, 1,
38, 4, 8, 2, 128, 2,
39, 8, 4, 2, 128, 0,
40, 8, 4, 2, 128, 1,
41, 8, 4, 2, 128, 2,
42, 4, 8, 4, 64, 0,
43, 4, 8, 4, 64, 1,
44, 4, 8, 4, 64, 2,
45, 8, 4, 4, 64, 0,
46, 8, 4, 4, 64, 1,
47, 8, 4, 4, 64, 2,
48, 4, 8, 8, 32, 0,
49, 4, 8, 8, 32, 1,
50, 4, 8, 8, 32, 2,
51, 8, 4, 8, 32, 0,
52, 8, 4, 8, 32, 1,
53, 8, 4, 8, 32, 2,
54, 4, 8, 16, 16, 0,
55, 4, 8, 16, 16, 1,
56, 4, 8, 16, 16, 2,
57, 8, 4, 16, 16, 0,
58, 8, 4, 16, 16, 1,
59, 8, 4, 16, 16, 2,
60, 4, 8, 32, 8, 0,
61, 4, 8, 32, 8, 1,
62, 4, 8, 32, 8, 2,
63, 8, 4, 32, 8, 0,
64, 8, 4, 32, 8, 1,
65, 8, 4, 32, 8, 2,
66, 4, 8, 64, 4, 0,
67, 4, 8, 64, 4, 1,
68, 4, 8, 64, 4, 2,
69, 8, 4, 64, 4, 0,
70, 8, 4, 64, 4, 1,
71, 8, 4, 64, 4, 2,
72, 4, 8, 128, 2, 0,
73, 4, 8, 128, 2, 1,
74, 4, 8, 128, 2, 2,
75, 8, 4, 128, 2, 0,
76, 8, 4, 128, 2, 1,
77, 8, 4, 128, 2, 2,
78, 4, 8, 256, 1, 0,
79, 4, 8, 256, 1, 1,
80, 4, 8, 256, 1, 2,
81, 8, 4, 256, 1, 0,
82, 8, 4, 256, 1, 1,
83, 8, 4, 256, 1, 2,
84, 4, 16, 1, 128, 0,
85, 4, 16, 1, 128, 1,
86, 4, 16, 1, 128, 2,
